post_id,account_id,account_type,follower_count,media_type,content_category,traffic_source,has_call_to_action,post_datetime,post_date,post_hour,day_of_week,likes,comments,shares,saves,reach,impressions,engagement_rate,followers_gained,caption_length,hashtags_count,performance_bucket_label,engagement_rate_pct
IG0000001,7,brand,3551,reel,Technology,Home Feed,1,2024-11-30 06:00:00,2024-11-30,6,Saturday,194,5,7,34,4327,6230,0.0385,899,100,7,medium,3.85
IG0000005,8,creator,15986,reel,Technology,Profile,0,2025-03-21 09:00:00,2025-03-21,9,Friday,154,8,5,21,5350,8503,0.0221,155,112,9,low,2.21
IG0000008,11,brand,9044,reel,Technology,Profile,0,2025-01-06 18:00:00,2025-01-06,18,Monday,18,1,0,3,1078,1357,0.0162,894,118,8,low,1.62
IG0000029,5,creator,10739,reel,Technology,Explore,1,2025-08-01 05:00:00,2025-08-01,5,Friday,76,2,3,3,3605,4679,0.018,382,118,13,low,1.8
IG0000035,4,creator,4972,image,Technology,External,1,2025-07-14 20:00:00,2025-07-14,20,Monday,104,3,5,17,2063,2340,0.0551,916,95,6,high,5.51
IG0000038,9,creator,6916,carousel,Technology,Reels Feed,0,2025-11-08 07:00:00,2025-11-08,7,Saturday,12,0,0,2,623,845,0.0166,311,110,6,low,1.66
IG0000049,4,creator,4972,carousel,Technology,External,0,2025-07-23 22:00:00,2025-07-23,22,Wednesday,109,1,8,12,3106,3478,0.0374,885,115,11,medium,3.74
IG0000069,13,creator,5824,image,Technology,Reels Feed,0,2024-12-31 01:00:00,2024-12-31,1,Tuesday,112,3,7,20,3818,5470,0.026,816,125,6,medium,2.6
IG0000081,8,creator,15986,image,Technology,External,0,2025-02-21 03:00:00,2025-02-21,3,Friday,304,10,10,46,4974,6248,0.0592,290,128,8,viral,5.92
IG0000095,8,brand,15986,image,Technology,Profile,0,2025-09-10 19:00:00,2025-09-10,19,Wednesday,103,4,5,12,1815,2446,0.0507,576,133,9,high,5.07
IG0000098,1,creator,9461,reel,Technology,Hashtags,0,2024-12-18 17:00:00,2024-12-18,17,Wednesday,49,0,2,11,2529,3779,0.0164,914,106,8,low,1.64
IG0000103,8,creator,15986,image,Technology,Explore,0,2024-12-19 06:00:00,2024-12-19,6,Thursday,270,0,9,37,3989,6237,0.0507,105,106,12,viral,5.07
IG0000104,3,creator,10018,image,Technology,Profile,0,2025-11-16 15:00:00,2025-11-16,15,Sunday,161,4,5,34,6335,8249,0.0247,905,106,8,medium,2.47
IG0000118,10,creator,4542,carousel,Technology,Reels Feed,0,2025-04-30 01:00:00,2025-04-30,1,Wednesday,237,9,9,37,4622,6992,0.0418,95,128,7,high,4.18
IG0000119,13,creator,5824,image,Technology,External,1,2025-03-10 12:00:00,2025-03-10,12,Monday,117,3,7,15,4645,6192,0.0229,495,123,10,medium,2.29
IG0000124,4,creator,4972,image,Technology,Reels Feed,0,2025-10-10 06:00:00,2025-10-10,6,Friday,164,5,8,26,4860,6617,0.0307,762,108,6,medium,3.07
IG0000129,11,creator,9044,image,Technology,Reels Feed,0,2024-12-13 10:00:00,2024-12-13,10,Friday,196,11,14,31,2945,3626,0.0695,314,93,11,viral,6.95
IG0000130,4,creator,4972,image,Technology,Hashtags,0,2025-08-14 12:00:00,2025-08-14,12,Thursday,158,4,10,15,5887,7778,0.024,622,110,10,low,2.4
IG0000132,7,creator,3551,reel,Technology,Home Feed,1,2025-10-02 13:00:00,2025-10-02,13,Thursday,854,26,34,115,19172,25478,0.0404,308,112,4,high,4.04
IG0000142,7,brand,3551,reel,Technology,Hashtags,0,2025-04-25 19:00:00,2025-04-25,19,Friday,57,1,5,8,3353,4534,0.0157,144,128,7,low,1.57
IG0000144,1,brand,9461,image,Technology,Explore,0,2025-01-11 06:00:00,2025-01-11,6,Saturday,385,7,18,58,5300,6949,0.0673,331,100,9,viral,6.73
IG0000152,9,creator,6916,carousel,Technology,Profile,0,2025-06-19 11:00:00,2025-06-19,11,Thursday,585,14,0,72,8069,10583,0.0634,511,131,8,viral,6.34
IG0000169,5,creator,10739,carousel,Technology,Hashtags,0,2025-02-19 12:00:00,2025-02-19,12,Wednesday,94,1,3,10,5665,8842,0.0122,758,133,6,low,1.22
IG0000181,6,creator,10034,carousel,Technology,External,0,2025-07-25 07:00:00,2025-07-25,7,Friday,852,28,33,137,11702,16150,0.065,671,121,9,viral,6.5
IG0000190,11,brand,9044,image,Technology,Profile,0,2025-11-01 11:00:00,2025-11-01,11,Saturday,1852,61,89,327,41265,49836,0.0467,761,129,10,high,4.67
IG0000192,16,brand,9696,reel,Technology,External,1,2025-11-07 11:00:00,2025-11-07,11,Friday,68,2,1,9,1055,1321,0.0606,712,130,10,viral,6.06
IG0000213,11,creator,9044,image,Technology,Profile,1,2025-09-04 11:00:00,2025-09-04,11,Thursday,410,6,23,60,7287,8900,0.0561,376,109,3,high,5.61
IG0000218,16,creator,9696,image,Technology,Hashtags,0,2025-11-19 08:00:00,2025-11-19,8,Wednesday,603,21,24,102,6262,9230,0.0813,913,138,12,medium,8.13
IG0000225,12,brand,13798,carousel,Technology,Hashtags,0,2025-02-15 22:00:00,2025-02-15,22,Saturday,66,3,3,10,2048,2940,0.0279,119,126,6,medium,2.79
IG0000228,9,brand,6916,carousel,Technology,External,0,2024-12-31 13:00:00,2024-12-31,13,Tuesday,38,0,3,0,3706,5767,0.0071,490,114,6,low,0.71
IG0000237,20,brand,31095,reel,Technology,Home Feed,1,2025-04-27 16:00:00,2025-04-27,16,Sunday,101,4,3,10,7843,8914,0.0132,274,115,14,low,1.32
IG0000274,19,creator,3447,image,Technology,External,0,2025-02-03 21:00:00,2025-02-03,21,Monday,153,4,6,26,2200,2474,0.0764,496,111,8,viral,7.64
IG0000280,5,brand,10739,image,Technology,Profile,0,2025-07-28 08:00:00,2025-07-28,8,Monday,672,27,30,69,2873,4563,0.1749,663,117,6,viral,17.49
IG0000309,2,creator,22291,carousel,Technology,Hashtags,1,2024-11-30 22:00:00,2024-11-30,22,Saturday,589,17,29,89,23192,30054,0.0241,422,124,15,low,2.41
IG0000322,4,brand,4972,carousel,Technology,Profile,0,2025-10-02 20:00:00,2025-10-02,20,Thursday,302,7,11,47,11636,17868,0.0205,869,112,9,low,2.05
IG0000332,15,creator,8167,reel,Technology,Reels Feed,1,2025-09-08 01:00:00,2025-09-08,1,Monday,66,1,2,11,5350,7458,0.0107,687,125,6,low,1.07
IG0000334,2,creator,22291,image,Technology,Home Feed,0,2025-10-21 01:00:00,2025-10-21,1,Tuesday,436,11,26,61,7732,9580,0.0557,276,124,4,high,5.57
